net,length_um
_03198_,146.16
_05521_,146.16
regfile.registers\[7\]\[27\],146.13
rd2_ex\[0\],146.12
_03505_,146.08
_05450_,146.04
_05555_,145.96
_02661_,145.42
clknet_leaf_112_clk,145.4
clknet_3_1_0_clk,145.33
_03240_,145.24
_05445_,145.125
_03758_,145.08
_06755_,144.94
_02283_,144.88
_03601_,144.875
_04518_,144.76
_04080_,144.42
_03813_,144.36
_00639_,144.305
_02795_,144.26
pc_plus_4_ex\[25\],144.26
_06066_,144.2
_02833_,143.95
_06561_,143.74
_07053_,143.72
_04905_,143.605
regfile.registers\[30\]\[28\],143.605
_01975_,143.58
_02542_,143.52
_02250_,142.81
_04723_,142.66
pc_plus_4_ex\[13\],142.46
clknet_leaf_77_clk,142.46
_02696_,142.32
_03022_,142.08
clknet_leaf_125_clk,141.86
_02746_,141.765
_02657_,141.7
_03513_,141.62
_05506_,141.48
pc_plus_4_ex\[5\],141.44
regfile.registers\[28\]\[27\],141.32
_02546_,141.1
_03550_,141.085
_02861_,140.76
_06113_,140.74
_06354_,140.68
_03074_,140.48
_03483_,140.42
_03685_,140.4
